2016-02-15 16:02:47,619 [main] INFO  com.alibaba.dubbo.container.Main (Slf4jLogger.java:42) -  [DUBBO] Dubbo LogbackContainer started!, dubbo version: 2.4.12a-SNAPSHOT, current host: 127.0.0.1
2016-02-15 16:02:47,759 [main] INFO  com.alibaba.dubbo.container.Main (Slf4jLogger.java:42) -  [DUBBO] Dubbo SpringContainer started!, dubbo version: 2.4.12a-SNAPSHOT, current host: 127.0.0.1
2016-02-15 16:03:26,682 [main] INFO  com.alibaba.dubbo.container.Main (Slf4jLogger.java:42) -  [DUBBO] Dubbo LogbackContainer started!, dubbo version: 2.4.12a-SNAPSHOT, current host: 127.0.0.1
2016-02-15 16:03:26,822 [main] INFO  com.alibaba.dubbo.container.Main (Slf4jLogger.java:42) -  [DUBBO] Dubbo SpringContainer started!, dubbo version: 2.4.12a-SNAPSHOT, current host: 127.0.0.1
2016-02-15 16:04:13,237 [main] INFO  com.alibaba.dubbo.container.Main (Slf4jLogger.java:42) -  [DUBBO] Dubbo LogbackContainer started!, dubbo version: 2.4.12a-SNAPSHOT, current host: 127.0.0.1
2016-02-15 16:04:13,376 [main] INFO  com.alibaba.dubbo.container.Main (Slf4jLogger.java:42) -  [DUBBO] Dubbo SpringContainer started!, dubbo version: 2.4.12a-SNAPSHOT, current host: 127.0.0.1
2016-02-15 16:06:15,362 [main] INFO  com.alibaba.dubbo.container.Main (Slf4jLogger.java:42) -  [DUBBO] Dubbo LogbackContainer started!, dubbo version: 2.4.12a-SNAPSHOT, current host: 127.0.0.1
2016-02-15 16:06:15,501 [main] INFO  com.alibaba.dubbo.container.Main (Slf4jLogger.java:42) -  [DUBBO] Dubbo SpringContainer started!, dubbo version: 2.4.12a-SNAPSHOT, current host: 127.0.0.1
2016-02-15 16:06:41,403 [main] INFO  com.alibaba.dubbo.container.Main (Slf4jLogger.java:42) -  [DUBBO] Dubbo LogbackContainer started!, dubbo version: 2.4.12a-SNAPSHOT, current host: 127.0.0.1
